#Time	Azimuth	Altitude	Radiation


2018-01-28T13:00:00	162.20966290572414	17.988728178881264	777.613038124325

2018-01-28T13:10:00	159.77129217431388	17.493392231716157	767.9549988455079

2018-01-28T13:20:00	157.35442772394867	16.93746569778202	756.5879614870098

2018-01-28T13:30:00	154.9608284992728	16.322537038031363	743.3160599432761

2018-01-28T13:40:00	152.5919906980173	15.650319882299028	727.8973573058315

2018-01-28T13:50:00	150.24914245153008	14.922639514655305	710.0328146802375

2018-01-28T14:00:00	147.9332430598613	14.141421014563996	689.3518647689463

2018-01-28T14:10:00	145.64498641833018	13.308680169298325	665.3935697787178

2018-01-28T14:20:00	143.38480711924421	12.426518283107551	637.5821503191289

2018-01-28T14:30:00	141.1528908974484	11.497123968218517	605.1957658747482

2018-01-28T14:40:00	138.94918569530796	10.522784468131118	567.3282538613082

2018-01-28T14:50:00	136.7734150361597	9.505913804201276	522.8469368435084

2018-01-28T15:00:00	134.62509220599998	8.449109473772296	470.36000139210597

2018-01-28T15:10:00	132.50353485589784	7.355261502538612	408.2377164386176

2018-01-28T15:20:00	130.40787957891894	6.22776347606942	334.8218112720409

2018-01-28T15:30:00	128.33709606147409	5.07093542360629	249.22211902825651

2018-01-28T15:40:00	126.29000062543957	3.890915899232322	153.85301900531448

2018-01-28T15:50:00	124.26526808039142	2.697640730251329	61.47810991257618

2018-01-28T16:00:00	122.2614437474914	1.5091898394557088	5.826951877950543

2018-01-28T16:10:00	120.27695276006142	0.3572658906780038	1.8836690456825315e-07

2018-01-28T16:20:00	118.31010860095216	-1.472422493117944	0.0

2018-01-28T16:30:00	116.35911999742945	-2.8306485495651015	0.0

2018-01-28T16:40:00	114.42209626236013	-4.211943782205214	0.0

2018-01-28T16:50:00	112.49705108340237	-5.614577908544548	0.0

2018-01-28T17:00:00	110.58190475917274	-7.036848219160306	0.0

2018-01-28T17:10:00	108.6744850302025	-8.477076049136123	0.0

2018-01-28T17:20:00	106.77252576146532	-9.933603122224017	0.0

2018-01-28T17:30:00	104.87366543065309	-11.404786334162518	0.0

2018-01-28T17:40:00	102.97544288995329	-12.88899292997425	0.0

2018-01-28T17:50:00	101.07529236329731	-14.38459462876085	0.0

2018-01-28T18:00:00	99.17053695693255	-15.88996125479234	0.0

2018-01-28T18:10:00	97.25838084711347	-17.40345377591706	0.0

2018-01-28T18:20:00	95.3359002141716	-18.92341670253085	0.0

2018-01-28T18:30:00	93.40003299031929	-20.44816981410045	0.0

2018-01-28T18:40:00	91.44756765296569	-21.975999056246675	0.0

2018-01-28T18:50:00	89.4751304067018	-23.505147166023992	0.0

2018-01-28T19:00:00	87.47917290719545	-25.033802414902357	0.0

2018-01-28T19:10:00	85.4559581569714	-26.5600874514954	0.0

2018-01-28T19:20:00	83.40154687534005	-28.082046634936354	0.0

2018-01-28T19:30:00	81.31178403701841	-29.597632387566417	0.0

2018-01-28T19:40:00	79.18228632359683	-31.104690419631996	0.0

2018-01-28T19:50:00	77.00843133638796	-32.60094376386757	0.0

2018-01-28T20:00:00	74.78534966420995	-34.083975611921815	0.0

2018-01-28T20:10:00	72.50792139293947	-35.55121088136613	0.0

2018-01-28T20:20:00	70.17077796747196	-36.99989719999205	0.0

2018-01-28T20:30:00	67.76831402259666	-38.427084026308606	0.0

2018-01-28T20:40:00	65.29470901561194	-39.82960220094086	0.0

2018-01-28T20:50:00	62.7439644411167	-41.20404296078235	0.0

2018-01-28T21:00:00	60.10995990575873	-42.54673773041671	0.0

2018-01-28T21:10:00	57.3865329948581	-43.85373964077099	0.0

2018-01-28T21:20:00	54.56758824022512	-45.12080815108192	0.0

2018-01-28T21:30:00	51.647240669508165	-46.343398597227925	0.0

2018-01-28T21:40:00	48.61999930073381	-47.51665887416689	0.0

2018-01-28T21:50:00	45.48099333309921	-48.635436493085706	0.0

2018-01-28T22:00:00	42.22624573195287	-49.69429804601415	0.0

2018-01-28T22:10:00	38.85298785698291	-50.687566157999555	0.0

2018-01-28T22:20:00	35.36001012010843	-51.609376250188426	0.0

2018-01-28T22:30:00	31.74803184902123	-52.45375665825554	0.0

2018-01-28T22:40:00	28.020065848583044	-53.214734060193656	0.0

2018-01-28T22:50:00	24.18174362760692	-53.88646440373825	0.0

2018-01-28T23:00:00	20.241559383153003	-54.46338692582338	0.0

2018-01-28T23:10:00	16.210987364881817	-54.94039554095562	0.0

2018-01-28T23:20:00	12.104428380050308	-55.31301852308109	0.0

2018-01-28T23:30:00	7.938958794232178	-55.577593537833636	0.0

2018-01-28T23:40:00	3.73386689415878	-55.73142408710129	0.0

2018-01-28T23:50:00	359.50999859968897	-55.77290205603195	0.0

2018-01-29T00:00:00	355.2889582133039	-55.701583841738	0.0

